Timestamp,Overall Score,Rating,Market Momentum,Stock Price Strength,Stock Price Breadth,Put and Call Options,Market Volatility,Junk Bond Demand,Safe Haven Demand
2026-06-12 17:46:38,35.23,FEAR,68.6,32.4,21.8,33.6,50.0,9.2,28.6
2026-06-12 17:48:23,35.23,FEAR,68.6,32.4,21.8,33.6,50.0,9.2,28.6
2026-06-13 15:11:53,34.0,FEAR,64.6,32.4,21.4,33.8,50.0,7.2,28.6
2026-06-14 15:19:24,34.0,FEAR,64.6,32.4,21.4,33.8,50.0,7.2,28.6
2026-06-15 16:54:50,40.4,FEAR,85.4,34.4,26.6,38.0,50.0,8.2,40.2
2026-06-15 22:34:13,40.86,FEAR,87.0,34.8,24.4,36.0,50.0,10.8,43.0
2026-06-16 21:58:26,39.17,FEAR,79.8,35.6,25.2,39.2,50.0,6.6,37.8
2026-06-17 19:52:16,39.74,FEAR,75.6,36.8,29.2,47.6,50.0,6.6,32.0
2026-06-18 20:13:25,37.0,FEAR,73.6,36.8,19.0,42.6,50.0,6.0,31.0
2026-06-19 18:41:47,37.26,FEAR,73.4,36.8,17.0,42.0,50.0,9.4,32.2
2026-06-20 15:10:31,37.26,FEAR,73.4,36.8,17.0,42.0,50.0,9.4,32.2
2026-06-21 15:27:34,37.26,FEAR,73.4,36.8,17.0,42.0,50.0,9.4,32.2
2026-06-22 21:57:27,34.26,FEAR,58.2,36.4,15.8,37.4,50.0,11.8,30.2
2026-06-23 18:44:28,28.63,FEAR,43.0,32.8,14.8,32.4,50.0,6.0,21.6
2026-06-24 18:03:42,28.23,FEAR,43.2,32.6,14.2,32.6,50.0,4.0,20.6
2026-06-25 18:11:41,26.2,FEAR,36.4,32.4,13.4,29.0,50.0,4.2,17.2
2026-06-26 17:37:17,25.37,FEAR,34.8,31.4,15.4,24.6,50.0,4.2,17.4
2026-06-27 14:03:42,24.77,EXTREME FEAR,34.4,31.8,15.6,24.0,50.0,3.4,14.2
2026-06-28 14:11:43,24.77,EXTREME FEAR,34.4,31.8,15.6,24.0,50.0,3.4,14.2
2026-06-29 19:20:57,26.66,FEAR,43.8,31.8,16.2,23.2,50.0,4.6,17.0
2026-06-30 15:31:11,27.17,FEAR,45.2,32.6,17.0,22.8,50.0,4.8,17.8
2026-07-01 18:13:00,33.83,FEAR,62.6,34.6,17.8,37.0,50.0,7.0,29.0
2026-07-02 15:21:55,30.46,FEAR,50.0,36.4,15.2,34.4,50.0,11.6,27.0
2026-07-03 15:24:41,31.89,FEAR,48.0,41.6,19.4,43.8,50.0,0.8,24.4
